STR,CUI
acute edema of lung,C0155919
pulmonary oedema acute,C0155919
acute edema of lung unspecified,C0155919
vascular accident brain,C0038454
heart infarction,C0027051
myocardial infarction,C0027051
attacks hearts,C0027051
infarct myocardial,C0027051
stroke cardiovascular,C0027051
disorder infarction myocardial,C0027051
attacking heart,C0027051
strokes cardiovascular,C0027051
coronary attack,C0027051
cardiovascular stroke,C0027051
mi myocardial infarction,C0027051
heart attack nos,C0027051
attacks coronary,C0027051
cardiovascular strokes,C0027051
myocardial infarction nos,C0027051
heart attack,C0027051
myocardial infarct,C0027051
infarction of heart nos,C0027051
infarction myocardial,C0027051
heart attacks,C0027051
infarction of heart,C0027051
syndrome myocardial infarction,C0027051
cardiac infarction nos,C0027051
cardiac infarction,C0027051
infarcts myocardial,C0027051
myocardial necrosis,C0027051
myocardial infarcts,C0027051
myocardial infarctions,C0027051
attack coronary,C0027051
cardiac infarct,C0027051
infarctions myocardial,C0027051
attack hearts,C0027051
myocardial infarction syndrome,C0027051
extremity edema,C0085649
edema peripheral,C0085649
edema of extremity,C0085649
edema of limb,C0085649
edema of extremities,C0085649
coronary heart disease,C0010054
atherosclerosis of coronary artery,C0010054
ischaemic heart disease,C0010054
atherosclerotic heart disease nos,C0010054
atherosclerosis of native coronary artery,C0010054
atherosclerosis coronary artery,C0010054
coronary artery arteriosclerosis,C0010054
plaque build up in arteries supplying blood to heart,C0010054
coronary atherosclerotic heart disease,C0010054
atherosclerosis coronary,C0010054
arteriosclerotic heart disease,C0010054
cardiac ischemia,C0010054
coronary atherosclerosis,C0010054
coronary artery atherosclerosis,C0010054
arteriosclerotic coronary artery disease,C0010054
arteriosclerosis coronary,C0010054
atherosclerotic coronary vascular disease,C0010054
atherosclerotic heart disease,C0010054
coronary atheroscleroses,C0010054
coronary artery disease,C0010054
atheroscleroses coronary,C0010054
myocardial ischemia,C0010054
coronary arteriosclerosis,C0010054
cardiac sclerosis,C0010054
coronary atheroma,C0010054
coronary sclerosis,C0010054
cardiac ischaemia,C0010054
myocardial ischaemia,C0010054
coronary artery sclerosis,C0010054
coronary artery diseases,C0010054
arteriosclerosis coronary artery,C0010054
coronary arterioscleroses,C0010054
arterioscleroses coronary,C0010054
depression nos,C0011570
depressed state,C0011570
depression,C0011570
monopolar depression,C0011570
monopolar depression nos,C0011570
depression psychic,C0011570
depressions,C0011570
depression mental function,C0011570
depression mental,C0011570
mental depression,C0011570
depressive state nos,C0011570
depressive state,C0011570
dyspnoea nos,C0013404
abnormal breathing,C0013404
s o b,C0013404
breathing shortness,C0013404
respiratory difficulty,C0013404
respiration difficult,C0013404
dyspnoeas,C0013404
breathless,C0013404
respiratory difficulties,C0013404
breathlessness,C0013404
breathing difficult,C0013404
breath shortnesses,C0013404
dyspnoea,C0013404
dib difficulty in breathing,C0013404
breathlessnesses,C0013404
breathing difficulty,C0013404
difficult to breathe,C0013404
shortness of breath,C0013404
breath shortness,C0013404
trouble breathing,C0013404
tightness of breath,C0013404
short of breath,C0013404
dyspneas,C0013404
breathing difficulties,C0013404
dyspnea,C0013404
difficulty breathing,C0013404
shortness of breath dyspnea,C0013404
sob shortness of breath,C0013404
difficult breathing,C0013404
dyspnea nos,C0013404
dyspnea unspecified,C0013404
shortness of breath dyspnoea,C0013404
limb edema,C0085649
edema extremities,C0085649
oedema peripheral,C0085649
oedema of extremity,C0085649
oedema limbs,C0085649
edema of the extremities,C0085649
oedema of extremities,C0085649
oedema extremities,C0085649
peripheral edema,C0085649
edema limbs,C0085649
peripheral oedema,C0085649
limbs edema,C0085649
ventricular tachycardia,C0042514
tachyarrhythmia ventricular,C0042514
tachycardia ventricular,C0042514
ventricular tachyarrhythmia,C0042514
ventricular tachyarrhythmias,C0042514
v tach,C0042514
ventricular tachycardia nos,C0042514
vt ventricular tachycardia,C0042514
ventricular tachycardias,C0042514
cerebral strokes,C0038454
cerebrovascular apoplexy,C0038454
stroke neurological,C0038454
brain vascular accident,C0038454
cerebral stroke,C0038454
stroke cerebrovascular accident,C0038454
cerebrovascular accidents,C0038454
undetermined stroke,C0038454
cerebrovascular accident nos,C0038454
vascular brain accident,C0038454
cerebral vascular accident,C0038454
cerebral apoplexy nos,C0038454
cerebral vascular events,C0038454
cva nos,C0038454
accident cerebrovascular,C0038454
cerebrovascular accident,C0038454
brain attack,C0038454
stroke cerebral,C0038454
apoplexy cerebral,C0038454
stroke nos,C0038454
stroke not specified as hemorrhage or infarction,C0038454
stroke cva,C0038454
apoplexy,C0038454
apoplexy nos,C0038454
strokes cerebral,C0038454
cerebrovascular stroke,C0038454
strokes,C0038454
cerebrovascular strokes,C0038454
cva cerebrovascular accident,C0038454
brain vascular accidents,C0038454
stroke cerebrovascular,C0038454
strokes cerebrovascular,C0038454
stroke,C0038454
stroke not specified as haemorrhage or infarction,C0038454
vascular cerebral accident,C0038454
apoplexy cerebrovascular,C0038454
stroke syndrome,C0038454
vascular accidents brain,C0038454
fluids retention,C0268000
water retention,C0268000
depressions unipolar,C0041696
unipolar depressive illness,C0041696
major depressive disorder,C0041696
unipolar depression,C0041696
depression unipolar,C0041696
unipolar depressions,C0041696
major depression,C0041696
shock unspecified,C0036974
shock physiological,C0036974
shock nos,C0036974
circulatory failure acute,C0036974
circulatory failure,C0036974
collapse,C0036974
collapse peripheral circulatory,C0036974
physiological shock,C0036974
collapse peripheral vascular,C0036974
peripheral vascular failure,C0036974
shock syndrome,C0036974
acute peripheral circulatory failure,C0036974
shocks,C0036974
acute circulatory failure,C0036974
failure circulatory,C0036974
collapse circulatory peripheral,C0036974
shocking,C0036974
cardiovascular collapse,C0036974
peripheral circulatory failure,C0036974
disorders shock,C0036974
shocked,C0036974
shock vascular,C0036974
collapse cardiovascular,C0036974
shock,C0036974
vascular collapse,C0036974
failure peripheral circulatory,C0036974
failure of peripheral circulation,C0036974
collapse circulatory,C0036974
circulatory shock,C0036974
shock circulatory,C0036974
collapse vascular,C0036974
circulatory collapse,C0036974
vascular shock,C0036974
failure of peripheral circulation nos,C0036974
peripheral vascular shutdown,C0036974
shock disorder,C0036974
depressive disorder major,C1269683
major depression nos,C1269683
major depression,C1269683
major depressive disorder nos,C1269683
depressive disorders major,C1269683
major depressive disorders,C1269683
major depressive illness,C1269683
major depressive disorder,C1269683
chd coronary heart disease,C0010068
diseases coronary,C0010068
coronary diseases,C0010068
coronary disorder,C0010068
coronary heart diseases,C0010068
disease coronary heart,C0010068
heart disease coronary,C0010068
coronary disease,C0010068
disease coronary,C0010068
diseases coronary heart,C0010068
coronary heart disease,C0010068
heart diseases coronary,C0010068
coronary disorders,C0010068
retentions of fluids,C0268000
fluid retention nos,C0268000
retention of fluid,C0268000
body fluid retention,C0268000
fluid retention,C0268000
atrial fibrillation,C1963067
lack of energy and strength,C0004093
general body state finding asthenia,C0004093
asthenic,C0004093
asthenia,C0004093
asthenia nos,C0004093
weakness,C0004093
diabetes mellitus,C0011849
diabete mellitus,C0011849
diabetes nos,C0011849
unspecified diabetes mellitus,C0011849
disorder diabetes mellitus,C0011849
diabetes mellitus nos,C0011849
diabetes,C0011849
dm diabetes mellitus,C0011849
diabetes mellitus nos diagnosed,C0011849
atrial fibrillation ctcae,C1963067
chronic heart failure,C0264716
congestive heart failure nos,C0018802
congestive disease heart,C0018802
congestive heart failure unspecified,C0018802
congestive diseases heart,C0018802
cardiac failure congestive,C0018802
heart failure congestive heart failure,C0018802
failure congestive heart,C0018802
failure heart congestive,C0018802
heart failure,C0018802
chf congestive heart failure,C0018802
congestive failures heart,C0018802
congestive cardiac failure,C0018802
cardiac failure,C0018802
congestive heart disease,C0018802
cardiac congestive failure,C0018802
heart failure congestive,C0018802
congestive heart failure chf,C0018802
congestive heart failure,C0018802
heart congestive failure,C0018802
congestive failure hearts,C0018802
congestive failure heart,C0018802
ccf congestive cardiac failure,C0018802
cardiac failures,C0018802
disease congestive heart,C0018802
chronic obstructive bronchopneumopathy,C0024117
pulmonary disease chronic obstructive,C0024117
chronic airway obstruction,C0024117
chronic pulmonary obstruction,C0024117
chronic obstructive lung disease,C0024117
hyperactive airway disease,C0024117
chronic obstructive lung disease nos,C0024117
chronic obstr pulmon disease,C0024117
copd nos,C0024117
airway obstruction chronic,C0024117
chronic irreversible airway obstruction,C0024117
chronic obstructive pulmonary disease unspecified,C0024117
chronic airways disease,C0024117
copd chronic obstructive pulmonary disease,C0024117
chronic obstructive airway disease,C0024117
chronic airflow limitation,C0024117
chronic obstructive pulmonary disease,C0024117
chronic airway disease,C0024117
chronic obstructive pulmonary disease nos,C0024117
cafl chronic airflow limitation,C0024117
chronic obstructive airways disease,C0024117
chronic obstructive airway disease nos,C0024117
chronic obstructive pulmonary diseases,C0024117
chronic obstr airways disease,C0024117
chronic obstruct airways disease,C0024117
coad chronic obstructive airways disease,C0024117
cal chronic airflow limitation,C0024117
cold chronic obstructive lung disease,C0024117
chronic obstr lung disease,C0024117
chronic cardiac failure,C0264716
chronic failure heart,C0264716
cardiac failure chronic,C0264716
heart failure chronic,C0264716
edema,C0013604
relaxation abnormality,C0520863
diastolic dysfunction,C0520863
obese,C0028754
obesity nos,C0028754
obesity,C0028754
obesity unspecified,C0028754
having too much body fat,C0028754
obesities,C0028754
adiposity,C0028754
cardiomyopathies restrictive,C0007196
primary restrictive cardiomyopathy,C0007196
rcm restrictive cardiomyopathy,C0007196
constrictive cardiomyopathy,C0007196
restrictive cardiomyopathy,C0007196
cardiomyopathy restrictive,C0007196
constrictive cardiomyopathy nos,C0007196
restrictive cardiomyopathies,C0007196
familial restrictive cardiomyopathy,C0007196
cardiomyopathy constrictive,C0007196
ischemia nos,C0022116
ischaemia nos,C0022116
ischemia,C0022116
ischemias,C0022116
ischaemia,C0022116
functional dyspnoea,C0231807
dyspnoea on effort,C0231807
difficulty breathing while active,C0231807
functional dyspnea,C0231807
shortness of breathing upon physical activity,C0231807
dyspnea on effort,C0231807
dyspnoea exertional,C0231807
difficulty breathing during exertion,C0231807
exertional dyspnoea,C0231807
shortness of breath exertion,C0231807
exertional dyspnea,C0231807
dyspnea with exertion,C0231807
dyspnea on exertion,C0231807
shortness of breath on exertion,C0231807
exercise dyspnoea,C0231807
exercise dyspnea,C0231807
dyspnoea on exertion,C0231807
short of breath on exertion,C0231807
exertion dyspnea,C0231807
soboe shortness of breath on exertion,C0231807
exertional breathlessness,C0231807
shortness of breath during exercise,C0231807
dyspnea exertional,C0231807
breathlessness on exertion,C0231807
dyspnea during exertion,C0231807
edema interstitial,C0013604
interstitial edema,C0013604
heart disease hypertension,C0152105
swelling due to excess fluid,C0013604
waterlogged,C0013604
hydrops,C0013604
oedema unspecified,C0013604
dropsy nos,C0013604
oedematous,C0013604
watery swelling,C0013604
dropsies,C0013604
swelling,C0013604
swelling edema,C0013604
oedema nos,C0013604
oedemas,C0013604
dropsy,C0013604
hydrops nos,C0013604
interstitial oedema,C0013604
edema nos,C0013604
edemas,C0013604
edema unspecified,C0013604
oedema,C0013604
oedema lesion,C0013604
excess fluid,C0013604
edema lesion,C0013604
edematous,C0013604
incompetence of any valvular structure,C0042300
valvular incompetence,C0042300
valvular regurgitation,C0042300
valvular regurgitation nos,C0042300
valvular insufficiency,C0042300
valvular incompetence nos,C0042300
regurgitation valvular,C0042300
valvular insufficiency nos,C0042300
heart failure systolic,C1135191
systolic heart failures,C1135191
failure heart systolic,C1135191
systolic heart failure,C1135191
heart failures systolic,C1135191
systolic heart failure unspecified,C1135191
heart failure reduced ejection fraction,C1135191
diseases heart hypertensive,C0152105
hhd hypertensive heart disease,C0152105
hypertensive heart disease,C0152105
cardiopathy hypertensive,C0152105
hypertension heart disease,C0152105
hypertensive heart disease unspecified,C0152105
hypertensive cardiovascular disease,C0152105
unspecified hypertensive heart disease,C0152105
hypertensive heart disease nos,C0152105
hypertensive cardiopathy,C0152105
benign essential hypertension,C0155583
essential benign hypertension,C0155583
essential hypertension benign,C0155583
patent ductus arteriosis,C0013274
arteriosus ductus patent,C0013274
patent arteriosus ductus,C0013274
arteriosis ductus patent,C0013274
pda patent ductus arteriosus,C0013274
ductus arteriosus,C0013274
persistent ductus arteriosus,C0013274
patency of the ductus arteriosus,C0013274
ductus arteriosus persistent,C0013274
ductus arteriosus patent,C0013274
persistent arterial duct,C0013274
patent arterial duct,C0013274
patent ductus arteriosus,C0013274
patent ductus botalli,C0013274
decompensation,C0231187
cardiac rhythm abnormal,C0003811
cardiac arrhythmia unspecified,C0003811
arrhythmia nos,C0003811
arrhythmia,C0003811
cardiac rhythm disturbances,C0003811
cardiac arrhythmias,C0003811
abnormal heart rhythms,C0003811
dysrhythmias,C0003811
cardiac dysrhythmia,C0003811
cardiac dysrhythmias,C0003811
arrhythmia cardiac,C0003811
heart rhythm disorders,C0003811
cardiac dysrhythmia nos,C0003811
ectopic beats all types,C0003811
cardiac dysrhythmia unspecified,C0003811
dysrhythmia cardiac,C0003811
heart arrhythmias,C0003811
irregular heart beat,C0003811
cardiac rhythm disturbance,C0003811
cardiac rhythm disorder,C0003811
arrhythmias cardiac,C0003811
cardiac arrhythmia,C0003811
arrhythmias,C0003811
dysrhythmia,C0003811
heart arrhythmia,C0003811
cardiac rhythm irregular,C0003811
cardiac arrhythmia irregular pulse,C0003811
cardiac arrhythmia nos,C0003811
disorder of heart rhythm,C0003811
irregular heartbeat,C0003811
arrythmia,C0003811
crepitant rales,C0034642
chest crepitation,C0034642
respiratory crackles,C0034642
respiratory crepitation,C0034642
crackle,C0034642
respiratory crepitations,C0034642
crepitations,C0034642
crepitations nos,C0034642
crackles in lungs,C0034642
crackles,C0034642
crackles lung,C0034642
crepitant rale,C0034642
pulmonary rales,C0034642
rales nos,C0034642
crepitation,C0034642
rales,C0034642
lung crepitation,C0034642
rales or crackles,C0034642
lung crackles,C0034642
pulmonary rales crackles crepitations,C0034642
obesity,C1963185
primary dilated cardiomyopathy,C0007193
stretched and thinned heart muscle,C0007193
dilated cardiomyopathies,C0007193
cardiomyopathy dilated,C0007193
congestive dilated cardiomyopathy,C0007193
cardiomyopathies dilated,C0007193
cocm congestive cardiomyopathy,C0007193
congestive cardiomyopathy,C0007193
cardiomyopathy congestive,C0007193
dcm dilated cardiomyopathy,C0007193
ccm congestive cardiomyopathy,C0007193
dilated cardiomyopathy,C0007193
obesity ctcae,C1963185
blood pressure low,C0020649
blood dropping pressure,C0020649
lowered blood pressure,C0020649
blood drops pressure,C0020649
hypotensive diseases,C0020649
drop in blood pressure,C0020649
decrease in blood pressure,C0020649
low blood pressure hypotension,C0020649
hypotension unspecified,C0020649
dropped blood pressure,C0020649
decreased blood pressure,C0020649
blood decreasing pressure,C0020649
low blood pressure,C0020649
blood lowers pressure,C0020649
blood lowing pressure,C0020649
vascular hypotensive disorder,C0020649
hypotension vascular,C0020649
drop of blood pressure,C0020649
arterial blood pressure decreased,C0020649
blood falling pressure,C0020649
blood falls pressure,C0020649
excessive body weight loss,C0041667
pulmonary edemas,C0034063
pulmonary oedema nos,C0034063
oedema pulmonary,C0034063
pulmonary oedemas,C0034063
edema lung,C0034063
edema pulmonary,C0034063
wet lungs,C0034063
pulmonary edema nos,C0034063
pulmonary oedema,C0034063
lung oedema,C0034063
edemas pulmonary,C0034063
lungs wet,C0034063
lung edema,C0034063
wet lung,C0034063
pulmonary edema,C0034063
excess fluid in lungs,C0034063
lung wet,C0034063
oedema lung,C0034063
distended veins,C0042484
venous engorgement,C0042484
congestion passive,C0042484
vein distended,C0042484
congestion venous,C0042484
passive congestion,C0042484
hyperemia passive,C0042484
passive hyperemia,C0042484
venous congestion,C0042484
engorgement venous,C0042484
vein engorgement,C0042484
passive hyperaemia,C0042484
depression ctcae,C1999266
depression,C1999266
fall in blood pressure,C0020649
arterial hypotension,C0020649
blood pressure drop arterial,C0020649
blood pressure dropped,C0020649
blood lowered pressure,C0020649
systemic hypotension,C0020649
blood pressure lower,C0020649
pressure arterial decreased,C0020649
blood pressure drop,C0020649
bp lowered,C0020649
low blood pressures,C0020649
blood pressure decreased,C0020649
bp fell,C0020649
bp lower,C0020649
vascular hypotension,C0020649
lower blood pressure,C0020649
blood drop pressure,C0020649
hypotension arterial,C0020649
hypotension,C0020649
hypotension nos,C0020649
low bp,C0020649
hypopiesis,C0020649
arterial hypotension nos,C0020649
hypotension was observed,C0020649
arterial pressure nos decreased,C0020649
septal defects ventricular,C0018818
septal defects intraventricular,C0018818
ventricular septal abnormality,C0018818
ventricular septal defect,C0018818
ventricular septal defect congenital,C0018818
intraventricular septal defects,C0018818
defect ventricular septal,C0018818
interventricular septal defect,C0018818
intraventricular septal defect,C0018818
hole in heart wall separating two lower heart chambers,C0018818
ventricular septal defect nos,C0018818
defect interventricular septum,C0018818
ventriculoseptal defect,C0018818
septal defect intraventricular,C0018818
septum interventricular patent,C0018818
defect intraventricular septal,C0018818
vsd ventricular septal defect,C0018818
ventricular septal defects,C0018818
defects intraventricular septal,C0018818
heart septal defects ventricular,C0018818
congenital ventricular septal defect,C0018818
septal defect ventricular,C0018818
myocardial injury,C0746730
weight loss severe,C0041667
the patient s weight was too low,C0041667
low body weight,C0041667
body weight loss excessive,C0041667
weight of patient too low,C0041667
underweight,C0041667
low weight,C0041667
patient underweight,C0041667
severe weight loss,C0041667
weight low,C0041667
depressed mood,C0344315
left ventricular enlargement,C0149721
ventricular hypertrophy left,C0149721
left ventricular wall hypertrophy,C0149721
lvh left ventricular hypertrophy,C0149721
hypertrophy left ventricular,C0149721
cardiomegaly of left ventricle,C0149721
left ventricular hypertrophies,C0149721
lv hypertrophy,C0149721
heart left ventricle hypertrophy,C0149721
ventricular hypertrophies left,C0149721
hypertrophy of left ventricle,C0149721
left ventricle hypertrophied,C0149721
hypertrophies left ventricular,C0149721
enlarged left ventricle,C0149721
left ventricular hypertrophy,C0149721
palpitations irregular,C0237314
irregular heart beats,C0237314
heart beats irregular,C0237314
irregular heart beat,C0237314
irregular palpitations,C0237314
heartbeats irregular,C0237314
irregular heartbeat,C0237314
heart irregular,C0237314
irregular heart rate,C0237314
heart rate irregular,C0237314
feeling down,C0344315
depressed,C0344315
mood depressed,C0344315
miserable,C0344315
morose mood,C0344315
melancholy,C0344315
melancholic,C0344315
depression,C0344315
low mood,C0344315
mood depressions,C0344315
feeling low,C0344315
decreased mood,C0344315
mood depression,C0344315
morosity,C0344315
tachypnea nos,C0231835
tachypnoea,C0231835
rapid respiration,C0231835
tachypneas,C0231835
rapid respirations,C0231835
tachypnoeic,C0231835
increased respiratory rate,C0231835
increased respiratory rate or depth of breathing,C0231835
fast breathing,C0231835
breathing rate increased,C0231835
increase in respiratory rate,C0231835
respiratory rate increased,C0231835
polypnea,C0231835
respiration rate increased,C0231835
tachypneic,C0231835
tachypnea,C0231835
rapid breathing,C0231835
respiratory rate high,C0231835
myocardial failure,C0018801
failure right heart,C0235527
right sided heart failure syndrome,C0235527
cardiac failure right,C0235527
heart failure right side,C0235527
failure heart right,C0235527
right sided heart failure,C0235527
failure heart right sides,C0235527
right ventricular failure,C0235527
heart failure right sided,C0235527
heart failure right,C0235527
right heart failure,C0235527
cardiac failure right heart,C0235527
right side heart failure,C0235527
failure heart right sided,C0235527
feeling blue,C0344315
depressing,C0344315
depression moods,C0344315
fluid excess,C0546817
fluid volume excess,C0546817
overload fluid,C0546817
excess fluid,C0546817
excess fluids,C0546817
fluids overload,C0546817
overloaded volume,C0546817
excess fluid volume,C0546817
fluid overload,C0546817
rndx fluid volume excess,C0546817
hyperhydration,C0546817
volume excess,C0546817
hypervolemia,C0546817
fluid overload unspecified,C0546817
hypervolaemia,C0546817
fluid overload in blood,C0546817
volume overload,C0546817
fluid excess volume,C0546817
dilated ischemic cardiomyopathy,C2063324
ischemic cardiomyopathy,C2063324
increased heart size,C0018800
heart size increased,C0018800
heart enlargement,C0018800
enlargement heart,C0018800
enlarged heart,C0018800
cardiomegaly,C0018800
cardiomegaly nos,C0018800
heart enlarged,C0018800
megalocardia,C0018800
cor bovinum,C0018800
cardiac enlargement,C0018800
heart failure acute,C0264714
acute cardiac failure,C0264714
cardiac failure acute,C0264714
acute heart failure,C0264714
acute cardiac insufficiency,C0264714
acute failure heart,C0264714
heart failure nos,C0018801
heart insufficiency,C0018801
heart failures,C0018801
cardiac failure nos,C0018801
cardiac failure,C0018801
heart failure,C0018801
failures heart,C0018801
heart failure and other functional disorders,C0018801
failure heart,C0018801
failure cardiac,C0018801
cardiac insufficiency,C0018801
myocardial failure nos,C0018801
insufficiency cardiac,C0018801
insufficiency heart,C0018801
cardiac function failed,C0018801
weak heart nos,C0018801
cardiac function failure,C0018801
weak heart,C0018801
heart failure unspecified,C0018801
hearts weak,C0018801
heart weaknesses,C0018801
cardiac failures,C0018801
heart weakness,C0018801
hf heart failure,C0018801
healed coronary,C0155668
decrease in cardiac output,C0007166
cardiac output decreased,C0007166
cardiac decreased output,C0007166
cardiac low output,C0007166
low cardiac output,C0007166
cardiac output low,C0007166
cardiac decrease output,C0007166
cardiac output decrease,C0007166
decreased cardiac output,C0007166
output low cardiac,C0007166
generalized ischemic myocardial dysfunction,C0349782
generalised ischaemic myocardial dysfunction,C0349782
ischaemic cardiomyopathy,C0349782
ischemic cardiomyopathy,C0349782
cardiomyopathy ischemic,C0349782
ventricular dysfunctions left,C0242698
ventricular dysfunction left,C0242698
left ventricular function decreased,C0242698
dysfunction left ventricular,C0242698
abnormal left ventricular function,C0242698
left ventricular dysfunction,C0242698
decreased left ventricular function,C0242698
left ventricular impairment,C0242698
impaired left ventricular func,C0242698
left ventricular dysfunctions,C0242698
impaired left ventricular function,C0242698
dysfunctions left ventricular,C0242698
stress echo measurements ejection fraction,C2020641
ejection fraction,C2020641
pulmonary hypertension ctcae,C1963220
pulmonary hypertension,C1963220
prior myocardial infarction,C0155668
old myocardial infarction,C0155668
previous mi,C0155668
